===
Australia, Australia
1,9,2,10,3,23,4,11,15,16,17
---
*M.A.Taylor, Taylor, N.S.Wales, 1
R.T.Ponting, Ponting, Tasmania, 1
M.G.Bevan, Bevan, N.S.Wales, 2
S.G.Law, Law, Queensland, 2
J.L.Langer, Langer, W.Australia, 1
M.L.Hayden, Hayden, Queensland, 2
D.R.Martyn, Martyn, W.Australia, 2
M.J.Slater, Slater, N.S.Wales, 2
---
M.E.Waugh, Waugh.M, N.S.Wales, 2
G.S.Blewett, Blewett, S.Australia, 1
S.R.Waugh, Waugh.S, N.S.Wales, 4
T.M.Moody, Moody, Worcs (Eng), 3
B.P.Julian, Julian, W.Australia, 10
A.Symonds, Symonds, Queensland, 2
---
P.R.Reiffel, Reiffel, Victoria, 10
S.K.Warne, Warne, Victoria, 5
D.W.Flemming, Flemming, Victoria, 10
J.N.Gillespie, Gillespie, S.Australia, 11
C.J.McDermott, McDermott, Queensland, 11
G.D.McGrath, McGrath, N.S.Wales, 10
A.J.Bichel, Bichel, Queensland, 11
T.B.A.May, May, S.Australia, 5
---
I.A.Healy, Healy, Queensland, 3
A.C.Gilchrist, Gilchrist, W.Australia, 3
D.S.Berry, Berry, Victoria, 3
===
England, England
1,2,3,5,6,23,9,15,16,18,19
---
*M.A.Atherton, Atherton, Lancashire, 0
N.V.Knight, Knight, Warwickshire, 0
A.J.Stewart, Stewart, Surrey, 1
N.Hussain, Hussain, Essex, 1
J.P.Crawley, Crawley, Lancashire, 1
G.P.Thorpe, Thorpe, Surrey, 2
N.H.Fairbrother, Fairbrother, Lancashire, 2
M.R.Ramprakash, Ramprakash, Middlesex, 2
---
C.White, White, Yorkshire, 4
R.C.Irani, Irani, Essex, 4
A.J.Hollioake, Hollioake, Surrey, 4
G.A.Hick, Hick, Worcerstershire, 2
M.A.Ealham, Ealham, Kent, 4
M.Watkinson, Watkinson, Lancashire, 4
---
D.G.Cork, Cork, Derbyshire, 10
D.Gough, Gough, Yorkshire, 10
R.D.B.Croft, Croft, Glamorgan, 5
